id,from,relation,to,confidence,review_status,proposed_by,evidence,rationale
edge-030,exp-e2-2-3-ablation,refines,exp-e2-2-2-invariant,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.2.3_directed_pc_ablation/README.md,The ablation separates the three factors that E2.2.2 combined.
edge-031,exp-e2-2-3-ablation,tests,concept-global-feature-type-invariant,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.2.3_directed_pc_ablation/README.md,A_ONLY directly tests the global consistency rule as a single factor.
edge-032,exp-e2-2-3-ablation,tests,concept-complete-state-contract,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.2.3_directed_pc_ablation/README.md,B_ONLY and C_ONLY test prompt and schema aspects of complete-state preservation.
edge-033,exp-e2-2-3-ablation,motivates,exp-e2-3-generalization,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/README.md,A_ONLY 20/20 on one fixture motivated generalization screening.
edge-034,exp-e2-2-3-ablation,derived_from,src-repo-experiment-files-2026-07,high,accepted,main_agent,"repo:E2.2.3 README, schema, fixture, trials, evaluator",The vault note is distilled from the captured repo source set.
edge-035,exp-e2-3-generalization,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/README.md,E2.3 is a project experiment.
edge-036,exp-e2-3-generalization,generalizes,exp-e2-2-3-ablation,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/README.md,"E2.3 moves the A factor from one fixture to new vocabulary, paraphrase, topology, and decoy conditions."
edge-037,exp-e2-3-generalization,tests,concept-global-feature-type-invariant,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/README.md,The experiment screens the invariant across four intervention cells.
edge-038,exp-e2-3-generalization,supports,claim-global-invariant-generalizes,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/trials.json,The screened arm results support the bounded generalization claim.
edge-039,exp-e2-3-generalization,motivates,exp-e2-4-repo-contract,high,accepted,summarize_e22_e23|summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The screened invariant results motivate moving to a repo-grounded evidence boundary test.
edge-040,exp-e2-3-generalization,derived_from,src-repo-experiment-files-2026-07,high,accepted,main_agent,"repo:E2.3 README, schema, fixture, trials, evaluator",The vault note is distilled from the captured repo source set.
edge-041,exp-e2-4-repo-contract,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,E2.4 is a designed project experiment.
edge-042,exp-e2-4-repo-contract,depends_on,concept-repo-derived-evidence,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/evidence_packet_schema.json,Every E2.4 arm receives repo-derived evidence packets.
edge-043,exp-e2-4-repo-contract,depends_on,concept-global-feature-type-invariant,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,A_REPO and CONTRACT_REPO carry forward the global invariant.
edge-044,exp-e2-4-repo-contract,tests,concept-evidence-sufficiency,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,"The experiment's central question is whether evidence is enough to claim, repair, or abstain."
edge-045,exp-e2-4-repo-contract,tests,concept-abstain-repair-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/decision_schema.json,"CONTRACT_REPO encodes accept_report, repair, and abstain branches."
edge-046,exp-e2-4-repo-contract,depends_on,dec-repo-evidence-source,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The experiment is scoped by the repository-only evidence decision.
edge-047,exp-e2-4-repo-contract,derived_from,src-repo-experiment-files-2026-07,high,accepted,main_agent,"repo:E2.4 README, evidence schema, decision schema, prompt",The vault note is distilled from the captured design packet.
edge-048,dec-repo-evidence-source,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,conversation:messages 331-333|repo:E2.4 README,The decision belongs to the project.
edge-049,dec-repo-evidence-source,gates,exp-e2-4-repo-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,Only evidence from the selected repository is admissible in E2.4.
edge-050,dec-repo-evidence-source,refines,concept-repo-derived-evidence,high,accepted,summarize_e24|main_agent,conversation:messages 331-333,The decision narrows repo-derived evidence to one concrete repository.
edge-051,dec-repo-evidence-source,stated_in,src-repo-experiment-files-2026-07,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The E2.4 README explicitly records the source decision.
edge-052,dec-e2-screening-policy,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.4 README,The provisional execution policy belongs to the project.
edge-053,dec-e2-screening-policy,gates,loop-e2-4-execution,medium,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,"The proposed threshold and futility rule constrain future trial execution, but the final cell matrix is not preregistered."
edge-054,dec-e2-screening-policy,derived_from,exp-e2-3-generalization,medium,accepted,main_agent,repo:E2.3 screening protocol|repo:E2.4 README,The E2.4 cost policy explicitly follows the E2.3 screening style.
edge-055,dec-vault-storage-graph,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,conversation:messages 357-363,The vault decision serves this project knowledge base.
edge-056,dec-vault-storage-graph,motivates,proc-vault-ingestion,high,accepted,review_vault_graph|main_agent,conversation:message 357,The selected architecture requires a repeatable ingestion and enrichment procedure.
edge-057,dec-vault-storage-graph,supports,concept-symlink-classification-view,high,accepted,review_vault_graph|main_agent,conversation:message 363,The decision explicitly selects symlinks for conceptual classification views.
edge-058,dec-vault-storage-graph,supports,concept-typed-semantic-edge,high,accepted,review_vault_graph|main_agent,conversation:messages 357-363,The decision reserves typed edges for non-tree semantic relations.
edge-059,dec-vault-storage-graph,stated_in,src-conversation-context-2026-07,high,accepted,main_agent,conversation:messages 357-363,The architecture is explicitly stated in the captured conversation context.
edge-060,proc-evidence-first-decision,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.4 contract prompt,The procedure is the project's E2.4 client contract workflow.
edge-061,proc-evidence-first-decision,requires,concept-repo-derived-evidence,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,The procedure audits only packet evidence.
edge-062,proc-evidence-first-decision,requires,concept-evidence-sufficiency,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,Sufficiency must be determined before a final decision.
edge-063,proc-evidence-first-decision,requires,concept-global-feature-type-invariant,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,The guarded invariant check is a required stage.
edge-064,proc-evidence-first-decision,requires,concept-complete-state-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,Valid repair must return the complete input state.
edge-065,proc-evidence-first-decision,gates,concept-abstain-repair-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The ordered procedure controls which final contract branch is allowed.
edge-066,proc-literature-first-research,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,conversation:message 359,The future research behavior is part of the project's knowledge workflow.
edge-067,proc-literature-first-research,requires,concept-literature-first,high,accepted,review_vault_graph|main_agent,conversation:message 359,The workflow operationalizes the literature-first principle.
edge-068,proc-literature-first-research,requires,concept-problem-status-claim,high,accepted,review_vault_graph|main_agent,conversation:messages 359-361,The workflow must record evidence- and date-bound status before solution attempts.
edge-069,proc-literature-first-research,gates,claim-open-status-date-bound,medium,accepted,review_vault_graph|main_agent,conversation:message 361,The workflow is the process that justifies a current status claim.
edge-070,proc-vault-ingestion,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,conversation:messages 354-363,The ingestion procedure manages this project's conversational knowledge.
edge-071,proc-vault-ingestion,requires,concept-typed-semantic-edge,high,accepted,review_vault_graph|main_agent,conversation:message 357,Graph enrichment requires typed edge proposals and validation.
edge-072,proc-vault-ingestion,requires,concept-symlink-classification-view,high,accepted,review_vault_graph|main_agent,conversation:messages 362-363,Ingestion must project canonical files into symlink classification views.
edge-073,proc-vault-ingestion,depends_on,dec-vault-storage-graph,high,accepted,review_vault_graph|main_agent,conversation:messages 357-363,The procedure implements the selected storage and graph architecture.
edge-074,claim-global-invariant-generalizes,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.3 results,The result claim belongs to the project.
edge-075,claim-global-invariant-generalizes,stated_in,src-repo-experiment-files-2026-07,high,accepted,summarize_e22_e23|main_agent,repo:E2.3 README and trials,The repo source set states and supports the bounded result.
edge-076,claim-global-invariant-generalizes,depends_on,exp-e2-3-generalization,high,accepted,summarize_e22_e23|main_agent,repo:E2.3 screening results,The claim is valid only within the E2.3 screening protocol.
edge-077,claim-global-invariant-generalizes,motivates,exp-e2-4-repo-contract,high,accepted,summarize_e24|main_agent,repo:E2.4 README,The screened result motivates testing the next repo-grounded boundary.
edge-078,claim-e2-4-design-only,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.4 directory contents,The status claim belongs to the project.
edge-079,claim-e2-4-design-only,stated_in,src-repo-experiment-files-2026-07,high,accepted,summarize_e24|main_agent,repo:experiments/README.md|repo:E2.4 design packet,The captured repository sources establish design-only status.
edge-080,claim-e2-4-design-only,depends_on,exp-e2-4-repo-contract,high,accepted,summarize_e24|main_agent,repo:E2.4 directory contents,The status claim is about the current E2.4 experiment artifact.
edge-081,claim-e2-4-design-only,motivates,loop-e2-4-scorer-fixtures,high,accepted,summarize_e24|main_agent,repo:E2.4 README suggested fixture classes and scorer obligations,Missing fixtures and scorer are direct consequences of design-only status.
edge-082,claim-e2-4-design-only,motivates,loop-e2-4-execution,high,accepted,summarize_e24|main_agent,repo:E2.4 README,No behavioral claim can be made until the designed experiment is executed.
edge-083,claim-open-status-date-bound,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,conversation:messages 359-361,The claim is a project knowledge-management principle.
edge-084,claim-open-status-date-bound,depends_on,concept-problem-status-claim,high,accepted,review_vault_graph|main_agent,conversation:message 361,The claim uses the date-bound status model.
edge-085,claim-open-status-date-bound,depends_on,proc-literature-first-research,high,accepted,review_vault_graph|main_agent,conversation:message 361,Current status requires the literature-first workflow.
edge-086,claim-open-status-date-bound,stated_in,src-conversation-context-2026-07,high,accepted,main_agent,conversation:messages 359-361,The principle is stated in the captured conversation context.
edge-087,loop-e2-4-scorer-fixtures,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.4 design packet gaps,The open implementation work belongs to the project.
edge-088,loop-e2-4-scorer-fixtures,depends_on,exp-e2-4-repo-contract,high,accepted,summarize_e24|main_agent,repo:E2.4 design packet,The fixtures and scorer must implement the E2.4 design.
edge-089,loop-e2-4-scorer-fixtures,requires,proc-evidence-first-decision,high,accepted,summarize_e24|main_agent,repo:E2.4 semantic_constraints,The scorer must enforce the evidence-first contract's cross-field semantics.
edge-090,loop-e2-4-execution,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:E2.4 design status,The pending trial run belongs to the project.
edge-091,loop-e2-4-execution,depends_on,loop-e2-4-scorer-fixtures,high,accepted,summarize_e24|main_agent,repo:E2.4 scoring obligations,Trials are uninterpretable without preregistered fixtures and deterministic scoring.
edge-092,loop-e2-4-execution,depends_on,dec-e2-screening-policy,medium,accepted,summarize_e24|main_agent,repo:E2.4 suggested execution policy,Execution needs a finalized sampling and futility policy.
edge-093,loop-e2-4-execution,requires,concept-context-isolation,high,accepted,review_vault_graph|main_agent,conversation:MCP isolation rules|repo:E2 experiment vehicle,Behavioral trials require cold context and controlled tool access.
edge-094,mem-experiment-progression,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:memory card frontmatter,The memory card summarizes project experiments.
edge-095,mem-experiment-progression,derived_from,exp-e2-2-1-vocabulary,high,accepted,main_agent,vault:exp-e2-2-1-vocabulary,The memory includes the E2.2.1 result.
edge-096,mem-experiment-progression,derived_from,exp-e2-2-2-invariant,high,accepted,main_agent,vault:exp-e2-2-2-invariant,The memory includes the E2.2.2 result.
edge-097,mem-experiment-progression,derived_from,exp-e2-2-3-ablation,high,accepted,main_agent,vault:exp-e2-2-3-ablation,The memory includes the E2.2.3 result.
edge-098,mem-experiment-progression,derived_from,exp-e2-3-generalization,high,accepted,main_agent,vault:exp-e2-3-generalization,The memory includes the E2.3 screening result.
edge-099,mem-experiment-progression,depends_on,claim-e2-4-design-only,high,accepted,main_agent,vault:claim-e2-4-design-only,The memory must preserve that E2.4 has no result yet.
edge-100,mem-vault-operating-rule,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:memory card frontmatter,The memory card records the project's vault convention.
edge-101,mem-vault-operating-rule,derived_from,dec-vault-storage-graph,high,accepted,review_vault_graph|main_agent,conversation:messages 357-363,The memory condenses the selected architecture decision.
edge-102,mem-vault-operating-rule,depends_on,proc-vault-ingestion,high,accepted,main_agent,vault:proc-vault-ingestion,The durable rule is maintained through the ingestion procedure.
edge-103,moc-ontology-reasoner-mcp,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:moc frontmatter,The map is a project navigation view.
edge-104,moc-vault-architecture,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:moc frontmatter,The architecture map is a project navigation view.
edge-105,moc-vault-root,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:root MOC frontmatter,The vault root is the main project knowledge view.
