id,type,title,status,file,project,topics,keywords,summary
concept-literature-first,concept,Literature-First Research,active,files/markdown/concept-literature-first.md,ontology-reasoner-mcp,hallucination-mitigation|literature-first|open-problem|research-context|retrieval,literature-first|open problem|retrieval|hallucination mitigation|research context,오픈 문제에 새 풀이를 시도하기 전에 최신 문헌에서 기존 해결·부분 해결·상태를 확인하는 연구 원칙.
concept-problem-status-claim,concept,Date-Bound Problem-Status Claim,active,files/markdown/concept-problem-status-claim.md,ontology-reasoner-mcp,as-of-date|open|problem-status|resolved|uncertain,problem status|as-of date|open|resolved|uncertain,open·partial·resolved·uncertain 상태를 문제의 고정 속성이 아니라 날짜와 근거가 붙는 claim으로 모델링하는 개념.
concept-repo-derived-evidence,concept,Repo-Derived Evidence,active,files/markdown/concept-repo-derived-evidence.md,ontology-reasoner-mcp,commit-provenance|evidence-packet|exact-excerpt|repo-derived-evidence|source-confinement,repo-derived evidence|source confinement|commit provenance|evidence packet|exact excerpt,특정 commit의 코드·문서·테스트·fixture·캡처된 commit message에서 명시적 span으로 추출한 evidence.
concept-symlink-classification-view,concept,Relative Symlink Classification View,active,files/markdown/concept-symlink-classification-view.md,ontology-reasoner-mcp,canonical-file|classification-view|faceted-navigation|no-duplication|relative-symlink,relative symlink|classification view|canonical file|faceted navigation|no duplication,canonical file을 복제하지 않고 node type·project·topic·status 분류 tree에 투영하는 상대 심링크 view.
concept-typed-semantic-edge,concept,Typed Semantic Edge,active,files/markdown/concept-typed-semantic-edge.md,ontology-reasoner-mcp,backlink-index|domain-range-validation|semantic-graph|stable-id|typed-edge,typed edge|semantic graph|stable ID|domain range validation|backlink index,"tree로 표현할 수 없는 의미 관계를 stable node ID, 제한 relation, 근거, confidence로 기록하는 그래프 단위."
dec-e2-screening-policy,decision,E2 Screening and Futility Policy,provisional,files/markdown/dec-e2-screening-policy.md,ontology-reasoner-mcp,e2-4|n-10|screening|threshold-0-90|two-failure-futility-stop,N=10|threshold 0.90|two-failure futility stop|screening|E2.4,"E2.4 실행 비용 정책으로 core arm-cell당 N=10, threshold 0.90, 두 실패 시 futility stop을 사용하는 제안."
dec-repo-evidence-source,decision,E2.4 Repository-Only Evidence Source,active,files/markdown/dec-repo-evidence-source.md,ontology-reasoner-mcp,commit-provenance|e2-4|goodand-concept-gate-taxonomy|repository-only-evidence|source-policy,repository-only evidence|goodand/concept-gate-taxonomy|source policy|E2.4|commit provenance,E2.4 evidence를 goodand/concept-gate-taxonomy 자체의 명시적 repo artifact로 한정한다는 결정.
dec-vault-storage-graph,decision,"Format Storage, Symlink Views, Typed Graph",active,files/markdown/dec-vault-storage-graph.md,ontology-reasoner-mcp,canonical-storage|format-first-storage|obsidian-backlinks|symlink-views|typed-edge-ledger,format-first storage|canonical storage|symlink views|Obsidian backlinks|typed edge ledger,"실제 파일은 형식별로 한 번 저장하고 분류는 심링크, 의미 관계는 Obsidian 링크와 typed edge로 표현한다는 결정."
exp-e2-2-1-vocabulary,experiment,E2.2.1 — Directed PC Vocabulary Fix,completed,files/markdown/exp-e2-2-1-vocabulary.md,ontology-reasoner-mcp,3-20|directed-positive-control|e2-2-1|structural_composition|vocabulary-exposure,E2.2.1|vocabulary exposure|structural_composition|directed positive control|3/20,여섯 FeatureType vocabulary 노출만 시험했으며 3/20으로 0.80 기준에 미달한 단일-arm 실험.
exp-e2-2-2-invariant,experiment,E2.2.2 — Directed PC Invariant Fix,completed,files/markdown/exp-e2-2-2-invariant.md,ontology-reasoner-mcp,20-20|complete-state|e2-2-2|global-consistency|schema-minitems,E2.2.2|global consistency|complete state|schema minItems|20/20,"global consistency, complete-state prompt, schema minItems를 결합해 20/20을 얻었지만 요인별 기여는 식별하지 못한 실험."
exp-e2-2-3-ablation,experiment,E2.2.3 — Directed PC OFAT Ablation,completed,files/markdown/exp-e2-2-3-ablation.md,ontology-reasoner-mcp,a_only|b_only|c_only|e2-2-3|factor-sufficiency|ofat-ablation,E2.2.3|OFAT ablation|A_ONLY|B_ONLY|C_ONLY|factor sufficiency,"A/B/C를 단독 arm으로 분리해 A_ONLY 20/20, B_ONLY 1/20, C_ONLY 0/20을 관측한 진단 실험."
exp-e2-3-generalization,experiment,E2.3 — Global Invariant Generalization,screened,files/markdown/exp-e2-3-generalization.md,ontology-reasoner-mcp,adaptive-screening|decoy-resistance|e2-3|global-invariant-generalization|paraphrase-invariance|topology-generalization,E2.3|global invariant generalization|paraphrase invariance|topology generalization|decoy resistance|adaptive screening,새 어휘·paraphrase·복잡 topology·강한 decoy에서 global invariant 효과를 2-stage protocol로 screening한 실험.
exp-e2-4-repo-contract,experiment,E2.4 — Repo-Grounded Evidence Contract,designed,files/markdown/exp-e2-4-repo-contract.md,ontology-reasoner-mcp,a_repo|contract_repo|control_repo|design-only|e2-4|repo-grounded-evidence,E2.4|CONTROL_REPO|A_REPO|CONTRACT_REPO|repo-grounded evidence|design only,"CONTROL_REPO, A_REPO, CONTRACT_REPO로 repo evidence 앞의 claim·abstain·repair 경계를 검증하도록 설계된 미실행 bridge 실험."
loop-e2-4-execution,open_loop,Execute E2.4 Repo-Grounded Trials,blocked,files/markdown/loop-e2-4-execution.md,ontology-reasoner-mcp,a_repo|cold-context|contract_repo|control_repo|e2-4-execution,E2.4 execution|cold context|CONTROL_REPO|A_REPO|CONTRACT_REPO,fixture·scorer·provenance preregistration 뒤 CONTROL_REPO/A_REPO/CONTRACT_REPO를 실행해야 하는 open loop.
loop-e2-4-scorer-fixtures,open_loop,Implement E2.4 Fixtures and Deterministic Scorer,open,files/markdown/loop-e2-4-scorer-fixtures.md,ontology-reasoner-mcp,deterministic-scorer|e2-4-fixtures|hidden-oracle|provenance-validator|semantic-constraints,E2.4 fixtures|hidden oracle|deterministic scorer|semantic constraints|provenance validator,"four-class fixture, hidden oracle, provenance validator, cross-field semantic scorer를 구현해야 하는 open loop."
mem-experiment-progression,memory_card,Memory — E2 Experiment Progression,active,files/markdown/mem-experiment-progression.md,ontology-reasoner-mcp,e2-progression|evidence-contract|global-invariant|memory-card|next-experiment,memory card|E2 progression|global invariant|evidence contract|next experiment,vocabulary 노출 실패에서 global invariant screening과 repo evidence contract 설계로 이어진 실험 진전.
mem-vault-operating-rule,memory_card,Memory — Vault Operating Rule,active,files/markdown/mem-vault-operating-rule.md,ontology-reasoner-mcp,canonical-home|memory-card|semantic-authority|symlink-classification|typed-graph,memory card|canonical home|symlink classification|semantic authority|typed graph,"format은 storage를, symlink tree는 분류를, typed edge는 비계층 의미를 담당한다는 장기 운영 기억."
moc-ontology-reasoner-mcp,map_of_content,MOC — Ontology and Reasoner MCP,active,files/markdown/moc-ontology-reasoner-mcp.md,ontology-reasoner-mcp,evidence-contract|experiment-progression|mcp-evaluation|moc|ontology,MOC|MCP evaluation|experiment progression|evidence contract|ontology,"프로젝트의 문제, 실험, 결정, 다음 행동을 연결하는 map of content."
moc-vault-architecture,map_of_content,MOC — Vault Architecture,active,files/markdown/moc-vault-architecture.md,ontology-reasoner-mcp,format-first-storage|knowledge-ingestion|moc|semantic-graph|tree-classification,MOC|format-first storage|tree classification|semantic graph|knowledge ingestion,"format-first 저장, tree classification, symlink views, semantic graph의 역할을 연결한다."
moc-vault-root,map_of_content,Conversation Knowledge Vault,active,files/markdown/vault-readme.md,ontology-reasoner-mcp,canonical-storage|knowledge-vault|obsidian-backlink|symlink-view|typed-edge,knowledge vault|canonical storage|symlink view|Obsidian backlink|typed edge,"파일 형식 저장소, 심링크 분류 views, Obsidian backlinks, typed edge graph의 진입점."
proc-evidence-first-decision,procedure,Evidence-First Contract Decision,active,files/markdown/proc-evidence-first-decision.md,ontology-reasoner-mcp,evidence-audit|evidence-first|final-decision|invariant-check|sufficiency-gate,evidence-first|evidence audit|sufficiency gate|invariant check|final decision,source confinement → evidence audit → sufficiency → invariant → accept/repair/abstain 순서를 강제하는 절차.
proc-literature-first-research,procedure,Literature-First Open-Problem Workflow,active,files/markdown/proc-literature-first-research.md,ontology-reasoner-mcp,abstain|literature-first-workflow|literature-search|open-problem-database|solution-attempt-gate,literature-first workflow|literature search|open problem database|solution attempt gate|abstain,"원문 보존, 문헌 검색, 결과 비교, 날짜가 붙은 상태 claim, solution-attempt gate를 순서대로 수행하는 절차."
proc-vault-ingestion,procedure,Vault Ingestion and Graph Enrichment,active,files/markdown/proc-vault-ingestion.md,ontology-reasoner-mcp,atomic-notes|edge-review|keyword-normalization|subagent-enrichment|vault-ingestion,vault ingestion|atomic notes|subagent enrichment|keyword normalization|edge review,"source 보존, atomic note 분해, subagent 요약·키워드·edge 제안, main-agent 검증, view 재생성을 수행하는 절차."
project-ontology-reasoner-mcp,project,Ontology and Reasoner MCP Project,active,files/markdown/project-ontology-reasoner-mcp.md,ontology-reasoner-mcp,concept-gate-taxonomy|mcp|ontology|reasoner|semantic-obligation,ontology|reasoner|MCP|concept-gate-taxonomy|semantic obligation,"ConceptGate의 분류·구성 관계, evidence contract, MCP client behavior를 실험적으로 검증하는 프로젝트."
src-conversation-context-2026-07,source_record,Conversation Context Snapshot — 2026-07,partial,files/markdown/src-conversation-context-2026-07.md,ontology-reasoner-mcp,context-coverage|conversation-provenance|e2-experiments|mcp-isolation|vault-architecture,conversation provenance|context coverage|MCP isolation|E2 experiments|vault architecture,현재 제공된 대화 요약과 메시지 구간을 범위 제한과 함께 보존한 source record.
src-repo-experiment-files-2026-07,source_record,Repo Experiment Source Set — E2.2.1 to E2.4,captured,files/markdown/src-repo-experiment-files-2026-07.md,ontology-reasoner-mcp,concept-gate-taxonomy|decision-schema|experiment-readme|repo-provenance|trial-data,repo provenance|experiment README|trial data|decision schema|concept-gate-taxonomy,실험 노트의 사실·수치·설계 상태를 확인하는 데 사용한 repository source set.
